"EASTING" "NORTHING" "Turdus_torquatus" "bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
545000 125000 0 98.5850681495925 80.1423587629286 37.42657733823 4739.45295314206 216.995513439389 6.70630935292008 210.289204086469 73.4220907776186 144.585068149592 160.585068149592 40.4220907776186 703.158808153707 75.6896783539305 44.4310638988414 19.1373732517615 221.399975316906 145.176936004364 149.176936004364 189.425579437119
535000 425000 0 96.052228981974 68.0510039151277 34 4648.45566360348 205.001225066846 6.05100391512765 198.950221151719 47.9777693761533 60.0510039151277 156.001225066846 37.0510039151277 676.416488397158 68.8967671028983 45.9465459511795 12.0234556906931 194.836770386644 145.842087987231 169.894316969205 171.886549234925
535000 345000 0 96 71.2606169715754 33 4915.71412031147 211.260616971575 0 211.260616971575 43 61 160 34 591.150297696353 58 38 10.3240758651851 161.1376260303 127.614428664177 156 141.938504529362
535000 285000 0 98 74.0984159720695 34 4950.25104042835 214.779495731881 -0.953916050214931 215.733411782096 161.681079759812 62.5826637877421 161.681079759812 35.5826637877421 542.879933636344 52.2728362904033 31.2728362904033 11 148.545672580807 114.272836290403 148.545672580807 121.644088552876
535000 265000 0 97.4652429699661 75 34.4563946125795 4932.76308670069 214.719433205953 -0.233912163726457 214.953345369679 154.089416432316 61.309693223694 161.175827818532 35.4652429699661 551.717929226714 52.2339121637265 31.9911516426134 10.7660878362735 149.604271090102 116.227645163827 148.76866919376 125.506805689024
535000 185000 0 108.984910596015 78.9888057939798 36 4886.87566812822 230.269165347944 15.7697719330861 214.499393414858 106.885334719356 70.9849105960152 173.280359553964 48.9118993090506 613.582127628819 60.08031029502 38.3178373699894 12.7736671310508 176.551469246994 128.150157558822 150.317837369989 149.310778148862
535000 165000 0 104.658845157389 80.2448536931287 37 4884.16422939365 227.819983345412 11.6588451573895 216.161138188023 77.6588451573895 65.9036988505181 169.658845157389 44.9669163050265 661.887426993469 65.418577525528 42.3143639698252 13.7756443574685 194.990380832858 141.047305465178 154.481794980036 169.074096337964
535000 105000 0 97.3253564146477 80 37.7710031371348 4707.29645569453 215.554353277513 5.81150350984638 209.742849767666 72.8115035098464 143.610212456584 159.325356414648 39.3253564146477 713.710015471563 76.5266474679102 45.4861470951987 19.0405003727116 225.363292544109 147.173137683794 150.903640448217 190.539442031019
525000 445000 0 96 69 35 4511 202 8 194 50 60 153 39 703 71 48 12 204 153 174 181
525000 365000 0 95.0214046592762 71.0386944197848 33.078869226588 4869.10748608131 210.060099079061 0.609658959627735 209.450440119433 42.6096589596277 59.0214046592762 158.060099079061 33.5694841528245 607.787543600456 59.9785953407238 39.4305158471755 11 166.699178342407 130.330241961311 160.426400948408 147.229968075447
525000 315000 0 97.9181093382713 73 33.690046779988 4937.91020865888 214.228062558283 0 214.228062558283 161.672437353085 62.309953220012 161.918109338271 35.2731698090494 569.273528746484 56.1186740726912 35.9273949253705 10 153.20056473442 124.009285587099 153.118674072691 132.899897101507
515000 485000 0 93.3041388764541 68.2326189675456 36 4323.05237640137 196 9.30413887645408 186.695861123546 50.3041388764541 110.953805393903 148.767381032454 39.3041388764541 796.136005976498 83.3041388764541 56 13.152069438227 238.912416629362 174 186.767381032454 212.608277752908
515000 415000 0 95.1517939074963 70 34.9270901127404 4655.04586855316 205.272434650688 5.73353948228892 199.538895168399 46.7335394822889 59.0788840202366 155.224703794756 35.7587185136164 650.314191373643 64 44 11.9270901127404 183.047730855932 139.145819774519 168.047730855932 163.047730855932
515000 385000 0 92.7976984118277 70.8520228545554 33.8520228545554 4810.74181969712 206.797698411828 1.51844916489085 205.279249246937 69.4049983615811 56.584085215637 155.797698411828 32.584085215637 628.681885678208 62.0543244427276 41.2023015881723 11 172.842686960042 134.672540815263 165.404603176345 153.325946656366
515000 335000 0 97.6973325446885 73 33.9991053383175 4922.373401805 214.698613877862 0.99910533831753 213.699508539545 161.998718666826 61.9991053383175 161.998718666826 35.6973325446885 573.420179628017 57.3026674553115 36.3013861221375 10.0003866714915 154.605334910623 124.303175445502 154.605334910623 133.905439699587
515000 275000 0 96.7905647303544 74.1679880029608 34.1679880029608 4854.6807883457 211.545411275567 -1.20943526964561 212.754846545213 158.069703944059 49.296743998122 159.042286184361 35.5388432763478 560.61408398955 52.4611567236522 32.5034429080131 10.7482785459934 150.964599631665 121.006885816026 150.922313447304 127.761732361239
515000 255000 0 98.7748258897535 75.3247221620207 34.7748258897535 4901.40912878743 215.757724234617 0.991268141198263 214.766456093419 123.597917204977 62.4413718689311 161.433002072597 36.7660940309518 568.975624089277 52.7750703825136 33.3334540208224 11 153.983142837624 120.892082151891 150.008976351562 132.316596858446
515000 235000 0 99.1041369773358 76.2820161565292 34.5856669182396 5002.93587209367 219.895863022664 1.58566691823958 218.310196104425 70.9046231929612 61.4077877390461 164 36.1041369773358 603.23311640126 57.1256335479898 36.644103607086 10.5184700590962 166.214326977787 129.450780880354 152.969605224522 145.895370703066
515000 215000 0 97 77.3227996519642 35.1440409115487 4999.31419163225 218.396306486217 0.828429220863266 217.567877265354 56.4619804820609 59.1440409115487 162.217547745802 34.1440409115487 662.964190245121 65.1327817737506 43.4555814257148 10.3156116906854 186.398345321252 147.588363199465 159.027529867588 169.721144973216
